City,State,IATA,Role,Enplanements
Allentown,PA,ABE,P-N,376468
Abilene,TX,ABI,P-N,77229
Albuquerque,NM,ABQ,P-M,2647269
Aberdeen,SD,ABR,P-N,28404
Albany,GA,ABY,P-N,39422
Nantucket,MA,ACK,P-N,126610
Waco,TX,ACT,P-N,57344
Arcata/Eureka,AZ,ACV,P-N,69575
Atlantic City,NJ,ACY,P-S,568958
Kodiak,AK,ADQ,P-N,81652
Alexandria,LA,AEX,P-N,141173
Augusta,GA,AGS,P-N,300598
King Salmon,AK,AKN,P-N,44131
Albany,NY,ALB,P-S,1440674
Waterloo,IA,ALO,P-N,23892
Walla Walla,WA,ALW,P-N,49527
Amarillo,TX,AMA,P-N,355705
Anchorage,AK,ANC,P-M,2642607
Aniak,AK,ANI,P-N,12853
Alpena,MI,APN,P-N,11614
Watertown,NY,ART,P-N,23844
Aspen,CO,ASE,P-N,285448
Atlanta,GA,ATL,P-L,51865797
Appleton,WI,ATW,P-S,348026
Watertown,SD,ATY,P-N,12064
Austin,TX,AUS,P-M,7714479
Asheville,NC,AVL,P-S,573206
Wilkes-Barre,PA,AVP,P-N,258628
Mesa,AZ,AZA,P-S,778972
Kalamazoo,MI,AZO,P-N,152845
Hartford,CT,BDL,P-M,3378035
Bedford,MA,BED,P-N,10194
Bethel,AK,BET,P-N,160110
Scottsbluff,NE,BFF,P-N,14295
Seattle,WA,BFI,P-N,18586
Bakersfield,AZ,BFL,P-N,105104
Binghamton,NY,BGM,P-N,36382
Bangor,ME,BGR,P-N,336140
Birmingham,AL,BHM,P-S,1457562
Block Island,RI,BID,P-N,16809
Billings,MT,BIL,P-N,440263
Bismarck,ND,BIS,P-N,285198
Bemidji,MN,BJI,P-N,30081
Boulder City,NV,BLD,P-N,205690
Bellingham,WA,BLI,P-N,368186
Belleville,IL,BLV,P-N,152278
Bloomington / Normal,IL,BMI,P-N,178057
Nashville,TN,BNA,P-M,8017347
Boise,ID,BOI,P-S,1943181
Boston,MA,BOS,P-L,20006521
Beaumont,TX,BPT,P-N,27694
Brunswick,GA,BQK,P-N,40443
Brainerd,MN,BRD,P-N,22233
Brownsville,TX,BRO,P-N,115711
Utqiaġvik (Barrow),AK,BRW,P-N,46450
Butte,MT,BTM,P-N,25803
Baton Rouge,LA,BTR,P-N,390107
Burlington,VT,BTV,P-S,658879
Buffalo,NY,BUF,P-M,2523158
Burbank,AZ,BUR,P-M,2680240
Baltimore,MD,BWI,P-L,13371816
Bozeman,MT,BZN,P-S,670295
Columbia,SC,CAE,P-S,566660
Akron,OH,CAK,P-N,449731
Concord,AZ,CCR,P-N,13077
Cedar City,UT,CDC,P-N,15835
Cordova,AK,CDV,P-N,17654
Chattanooga,TN,CHA,P-S,504833
Charlottesville,VA,CHO,P-N,352816
Charleston,SC,CHS,P-S,2192893
Cedar Rapids,IA,CID,P-S,602058
Sault Ste. Marie,MI,CIU,P-N,23324
Clarksburg,WA,CKB,P-N,36917
Cleveland,OH,CLE,P-M,4701713
College Station,TX,CLL,P-N,79309
Charlotte,NC,CLT,P-L,22281949
Columbus,OH,CMH,P-M,3976620
Champaign / Urbana / Savoy,IL,CMI,P-N,109878
Hancock,MI,CMX,P-N,24041
Moab,UT,CNY,P-N,14035
Cody,WY,COD,P-N,39407
Colorado Springs,CO,COS,P-S,845742
Columbia,MO,COU,P-N,120235
Casper,WY,CPR,P-N,86905
Corpus Christi,TX,CRP,P-N,332499
Charleston,WA,CRW,P-N,216873
Columbus,GA,CSG,P-N,49354
Cincinnati/Covington,KY,CVG,P-M,4269258
Mosinee,WI,CWA,P-N,124632
Daytona Beach,FL,DAB,P-N,366967
Dallas,TX,DAL,P-M,8011221
Dayton,OH,DAY,P-S,858022
Dubuque,IA,DBQ,P-N,38831
"Washington, D.C. / Arlington County",VA,DCA,P-L,11366771
Denver,CO,DEN,P-L,31362941
Dallas,TX,DFW,P-L,32821799
Dothan,AL,DHN,P-N,52855
Dickinson,ND,DIK,P-N,22595
Dillingham,AK,DLG,P-N,34496
Duluth,MN,DLH,P-N,136806
Durango,CO,DRO,P-N,189225
Des Moines,IA,DSM,P-S,1347876
Detroit,MI,DTW,P-L,17436837
