City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,,,,,,
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,1457562
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,52855
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,580932
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,297544
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,170544
ALASKA,,,,,,
Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also Lake Hood Airstrip),P-N,12898
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,10478
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2642607
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,12853
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,160110
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,17654
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,43655
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,34496
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,549289
Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,11023
Homer,HOM,HOM,PAHO,Homer Airport,P-N,46867
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,440277
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,93889
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,135389
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,44131
Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,13503
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,81652
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,69070
Nome,OME,OME,PAOM,Nome Airport,P-N,64122
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,24520
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,11442
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,87119
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,16208
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,29229
Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,46450
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,10050
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,14033
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,11880
ARIZONA,,,,,,
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,131294
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,67793
Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,289278
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,778972
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,25387
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,21662580
Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,10337
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,1753227
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,79731
ARKANSAS,,,,,,
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,759127
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,86793
Little Rock,LIT,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National),P-S,1031258
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,37599
CALIFORNIA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,69575
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,105104
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,2680240
Concord,CCR,CCR,KCCR,Buchanan Field Airport,P-N,13077
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,853538
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,1908635
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,42624050
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N,23522
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,186806
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,6686603
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,2498993
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,5201642
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,1163883
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,42775
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,5907629
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,12174224
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,27790717
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,7032851
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,235570
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,403745
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,23008
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,217480
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,98908
COLORADO,,,,,,
Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,285448
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,845742
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,31362941
Durango,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,189225
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,173863
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,221978
Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,36238
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,100079
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,133924
Pueblo,PUB,PUB,KPUB,Pueblo Memorial Airport,P-N,10459
CONNECTICUT,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,3378035
New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport,P-N,38991
FLORIDA,,,,,,
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,366967
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,17612331
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,4602113
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,683759
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,233955
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,3135508
Key West,EYW,EYW,KEYW,Key West International Airport,P-N,446005
Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport,P-N,234939
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,21021640
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,23202480
Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport,P-S,512423
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,972081
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,787022
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,1504888
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,685001
St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,1115886
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,384136
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,10378514
Vero Beach,VRB,VRB,KVRB,Vero Beach Regional Airport,P-N,10314
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,3270605
GEORGIA,,,,,,
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,39422
Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,51865797
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,300598
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,40443
Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,49354
Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,15431
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,1356660
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,44609
HAWAII,,,,,,
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,599148
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,10017149
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,3571660
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,1829020
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport),P-N,79336
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,42061
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,1644590
IDAHO,,,,,,
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,1943181
Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,93280
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,161019
Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,57957
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,46303
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,47084
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,152278
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,178057
